Track Name,Artists,Predicted_Preferences,mbti
Papa Noel,TRI.BE,0.04879711738616662,enfj
Grace,IDLES,0.04877519423803619,enfj
Digression,Junguk,0.04845738068198302,enfj
Winter Wonderland,As One,0.048436748716228877,enfj
Grassland,JFLAMINGO,0.048418503278259285,enfj
Dance Alone,Preston Pablo,0.04810659859267761,enfj
SUMMER NIGHT,JAEHA,0.04807833802846874,enfj
Circle (Feat. Demian Love),"L-like, Demian Love",0.04797739409467253,enfj
Monica Bellucci,CRUCiAL STAR,0.047827627964141126,enfj
try not to cry,10cm,0.04775392295711693,enfj
WE CONNECT (feat. ONCHA),"YUNB, ONCHA",0.04742936507936507,enfj
Find the way,TIOT,0.04698523119392685,enfj
Dive in,CHANZE,0.04684214156214156,enfj
Wedding Day - Solo Version,Choyoung,0.04664986501987399,enfj
18,Jillian Rossi,0.04632479293789863,enfj
Talk Money (Prod. Wiz World),"Swings, Nochang",0.04576579722959034,enfj
After All This Time,Kim Dong Ryul,0.04544078144078144,enfj
Letter,ALEPH,0.04538299044546805,enfj
Catalyst.,"Weird Genius, Pepita",0.04513932621270454,enfj
WDYM? (Feat. NavyQuokka),"maji, 네이비쿼카(NavyQuokka)",0.04481833908552175,enfj
"WINTERLUDE (feat. FYVE, suji)","Austn, FYVE, Suji",0.044625467947920355,enfj
erase,ecru,0.044494888285976496,enfj
A Song For You,JOONIL JUNG,0.04440317766991579,enfj
"0 (Feat. Soojin Lee, SeongSu Kim)","Add All Ears, 이수진, 김성수",0.044026631992591124,enfj
Cinema,Galdive,0.04366414141414142,enfj
MY HOUSE,Beyoncé,0.0434542679142535,enfj
King,Thomas Ng,0.04324706680314098,enfj
Volume up,Hong Kyung-min,0.04322038156650042,enfj
출근하지 뭐,HoneyChurros,0.04267254901960785,enfj
not good enough,Rangga Jones,0.042287399859399964,enfj
Don't blame yourself,이용신,0.041862986276319555,enfj
Pain Killer (Feat. Yescoba),"NO:EL, Yescoba",0.04173202338646763,enfj
겨울 고백 winter (feat. hanlim),"biskit!, Hanlim",0.04165122719554869,enfj
Eat Sleep Live Repeat,"LEE SUNG KYOUNG, LEE CHANHYUK",0.041334583220548136,enfj
Jingle Bell Rock,aespa,0.04119983985144841,enfj
In The Head,Kai,0.04025371037012153,enfj
"당겨요, 바로 지금 Draw The Bow Right Now",cacophony,0.03975400032066699,enfj
Get Some Rest,IT’S,0.0387078111946533,enfj
You're Different (Our Secret Diary X Kwon Jin Ah),Kwon Jin Ah,0.03852629384238579,enfj
Mood (feat. BOBBY),"Babylon, BOBBY",0.03814849220039671,enfj
AF!!,P. Cassady,0.037692496392496395,enfj
"work, shit, sleep",jisokuryClub,0.03748297979797981,enfj
구름 Cloud,Budung,0.0372385704412847,enfj
"ROSETTA (Feat. lobonabeat!, Owen, BIG Naughty) - Remix","pH-1, lobonabeat!, Owen, BIG Naughty",0.03690789327631433,enfj
Baggy Jeans - KIM MINCHEOL & HAYATE Remix,"NCT U, KIM MINCHEOL & HAYATE",0.03688653649125785,enfj
Dreamy Ocean,SUNYOUL,0.03657964805602497,enfj
Something Like That,Solji,0.035307309493376016,enfj
BLOODY (Feat. Microdot),"Kim Boa, Microdot",0.034968201558194315,enfj
"Goodnight Goodnight (ft. Nochang, Nucksal, Khundi Panda)","hyeminsong, 그냥노창, 넉살, Khundi Panda",0.034576389603058165,enfj
Po.Ong (feat. Kim Min Seok of MeloMance),"Sunwoojunga, Kim Min Seok of MeloMance",0.03408608058608059,enfj
SNOWFLAKES (feat. HEENA),"YLN Foreign, HEENA",0.03373691092464677,enfj
파도 Waves,Bokdajin,0.03323703437387648,enfj
Good Bye,YURI,0.032213864152734736,enfj
장마 Rainy Season,JEONGMILLA,0.03165087916621135,enfj
Head Spinners,PARKJIWOO,0.031511309508252844,enfj
Alley (with SUNG SI KYUNG),"LeeHi, Sung Si Kyung",0.028859452257981665,enfj
Shooting Star,24K+,0.028325525172143172,enfj
Sleep,GEMINI,0.028100232350865263,enfj
BATTER UP,BABYMONSTER,0.028024808503201604,enfj
tree,GIRIBOY,0.02790284806207654,enfj
"Apart, so",Anna hisbbuR,0.027255670477006905,enfj
Mater Dolorosa,Lucid Fall,0.02144259259259259,enfj
You Don't Know Me,The London Suede,0.021103174603174603,enfj
DIE 4 YOU,DEAN,0.019820676348740865,enfj
MY CHRISTMAS,HUS,0.01799780701754386,enfj
Maestra,조성우,0.01729022106570508,enfj
Sunflower I Waltz - Allegretto,"조성우, 신민섭",0.005619047619047619,enfj
Monthly Project 2023 October Yoon Jong Shin - Back Then,Yoon Jong Shin,0.20585620180780823,enfp
Stay With Me (Feat. Skinny Brown),"ASH ISLAND, Skinny Brown",0.18708875341073983,enfp
I will love you,amin,0.18429939078729965,enfp
ICN > YVR,BIG Naughty,0.18419020467595976,enfp
If Tomorrow Starts Without Me,Bill Ryder-Jones,0.17116353768054707,enfp
Don't Say (feat. Kid Milli),"Moon Sujin, Kid Milli",0.17068329616254418,enfp
Whatever Comes My Way,Felly,0.16809706618859716,enfp
크리스마스에 고백,"Lee Woo, KIM HANKYUL, KIM DO HEE, 박제업, Choi Nakta",0.16513108004449153,enfp
I Fall In Love,DK,0.16114327111757015,enfp
전화하지 마 Don't call me,Jettoyz,0.15145109105636048,enfp
her,Junggigo,0.14485860818941587,enfp
Beautiful Winter,Hwang Chi Yeul,0.1441131010680353,enfp
Know u (feat. POYD),"Danny, Laymin, DonEmoji, POYD",0.13477085451272347,enfp
ALARM,ID:Earth,0.13423486471877624,enfp
the soul savior ~ I don't need a superman,Billlie,0.13330263294381342,enfp
All I Want Is You (Kor Ver.),drewboi,0.13302767395245657,enfp
Smile!,Juju B. Goode,0.132594832132499,enfp
Water Underground,Real Estate,0.13103815256988632,enfp
White Glove,Dove Cameron,0.12439096998841985,enfp
RE8EL,KANGDANIEL,0.12045541217967429,enfp
Happy Prince,"Elephant Gym, YILE LIN",0.11666190213613503,enfp
Papa Noel,TRI.BE,0.11665169962960183,enfp
Sun Flower(2023),LAS,0.11641596004823666,enfp
GAME (Feat. Verbal Jint),"NARSHA, Verbal Jint",0.11343940487093751,enfp
):阿修羅:(,King Gnu,0.11241993482937049,enfp
