,Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
1074,ISTJ,Poison,NCT DREAM,0.642,0.61,8,-4.037,0,0.0368,0.0627,0.0,0.314,0.588,134.83,212680,4
1075,ISTJ,Like We Just Met,NCT DREAM,0.663,0.51,2,-5.617,1,0.0383,0.161,0.0,0.171,0.442,106.984,209627,4
1076,ISTJ,Best Friend Ever,NCT DREAM,0.789,0.869,5,-1.805,0,0.103,0.022,0.0,0.0644,0.762,107.977,201440,4
1077,ISTJ,Broken Melodies,NCT DREAM,0.587,0.821,1,-2.983,1,0.0462,0.188,0.0,0.178,0.392,150.064,226160,4
1078,ISTJ,Gold Dust,NCT 127,0.735,0.541,0,-5.272,1,0.0395,0.701,0.0,0.344,0.516,140.001,249613,4
1079,ISTJ,"1, 2, 7 (Time Stops)",NCT 127,0.663,0.775,7,-4.039,1,0.0904,0.101,0.0,0.117,0.271,93.894,216867,4
1080,ISTJ,Time Lapse,NCT 127,0.477,0.91,6,-3.344,0,0.209,0.0595,0.0,0.286,0.46,84.857,215307,4
1081,ISTJ,Black Clouds,NCT 127,0.573,0.715,2,-4.109,1,0.0865,0.234,0.0,0.098,0.286,170.112,218400,4
1082,ISTJ,Designer,NCT 127,0.71,0.912,1,-3.184,1,0.0825,0.108,0.0,0.121,0.508,92.991,237080,4
1083,ISTJ,Skyscraper,NCT 127,0.746,0.932,8,-2.647,0,0.0808,0.113,0.0,0.229,0.689,152.052,236467,4
1084,ISTJ,Can We Go Back,NCT DOJAEJUNG,0.751,0.689,8,-4.148,1,0.0476,0.417,0.0,0.128,0.565,114.988,203427,4
1085,ISTJ,INTRO: Neo Got My Back,"NCT, NCT U",0.828,0.689,5,-7.97,1,0.0699,0.32,0.0118,0.11,0.176,100.042,117326,4
1086,ISTJ,Memories,RIIZE,0.691,0.802,5,-5.302,0,0.0521,0.015,0.0,0.101,0.399,92.961,178013,4
1087,ISTJ,Golden Age,NCT 2023,0.552,0.866,8,-5.021,1,0.0768,0.0266,0.0,0.1,0.423,151.013,218147,4
1088,ISTJ,Baggy Jeans,NCT U,0.728,0.64,1,-3.837,1,0.284,0.0102,1.3e-06,0.131,0.633,88.657,211387,4
1089,ISTJ,Call D,NCT U,0.745,0.606,7,-6.73,0,0.22,0.0319,0.0,0.563,0.558,149.93,216347,4
1090,ISTJ,PADO,NCT U,0.649,0.766,6,-3.922,0,0.226,0.0174,0.0,0.0648,0.799,95.95,178573,4
