,Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
307,ENFJ-T🤍🤘🏻,Reminder,The Weeknd,0.706,0.505,8,-6.923,1,0.193,0.142,0.0,0.164,0.388,160.053,218880,4
308,ENFJ-T🤍🤘🏻,After Hours,The Weeknd,0.664,0.572,5,-6.099,0,0.0305,0.0811,0.00604,0.121,0.143,108.959,361027,4
309,ENFJ-T🤍🤘🏻,Heartless,The Weeknd,0.537,0.746,10,-5.507,0,0.15,0.0236,1.01e-06,0.156,0.252,170.062,198267,4
310,ENFJ-T🤍🤘🏻,Starboy,"The Weeknd, Daft Punk",0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,230453,4
311,ENFJ-T🤍🤘🏻,Call Out My Name,The Weeknd,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17,228373,3
312,ENFJ-T🤍🤘🏻,7 rings,Ariana Grande,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,178627,4
313,ENFJ-T🤍🤘🏻,Right There,"Ariana Grande, Big Sean",0.621,0.834,7,-3.166,1,0.105,0.127,0.0,0.0854,0.561,156.099,247080,4
314,ENFJ-T🤍🤘🏻,Into You - Alex Ghenea Remix,"Ariana Grande, Mac Miller, Alex Ghenea",0.637,0.615,9,-5.363,1,0.0495,0.0928,0.0,0.0949,0.126,120.003,218160,4
315,ENFJ-T🤍🤘🏻,Greedy,Ariana Grande,0.62,0.705,1,-5.335,1,0.0989,0.0323,0.0,0.092,0.844,109.974,214907,4
316,ENFJ-T🤍🤘🏻,Into You,Ariana Grande,0.623,0.734,9,-5.95,1,0.107,0.0162,1.9e-06,0.145,0.372,107.853,244453,4
317,ENFJ-T🤍🤘🏻,"Money, Money, Money",ABBA,0.756,0.741,9,-6.426,0,0.0364,0.43,0.00113,0.0807,0.691,120.445,186787,4
318,ENFJ-T🤍🤘🏻,Royalty,"Egzod, Maestro Chives, Neoni",0.388,0.855,4,-4.229,0,0.0644,0.0181,8.11e-05,0.137,0.32,80.121,223520,4
319,ENFJ-T🤍🤘🏻,Company,Justin Bieber,0.59,0.797,4,-4.901,0,0.0614,0.132,0.0,0.0846,0.425,94.948,208120,4
320,ENFJ-T🤍🤘🏻,Everyday,"Ariana Grande, Future",0.637,0.733,7,-4.387,0,0.0553,0.0152,0.0,0.162,0.432,131.005,194840,4
321,ENFJ-T🤍🤘🏻,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"The Weeknd, Playboi Carti, Madonna",0.855,0.678,1,-6.276,1,0.189,0.0569,3.69e-05,0.412,0.852,99.029,215467,4
322,ENFJ-T🤍🤘🏻,Nobody's Business,"Rihanna, Chris Brown",0.741,0.6,1,-5.792,0,0.0412,0.0362,0.0,0.0562,0.515,109.233,216293,4
